,d,Sr,Oob,year,season,phase
1,0.076,0.7119725,-17.79690452,28,1,4
2,0.225,0.7116568,-17.73482037,28,1,4
3,0.375,0.7115566,-17.67273623,28,1,4
4,0.525,0.7116106,-17.61065209,28,1,4
5,0.676,0.7116803,-17.54856794,28,1,4
6,0.825,0.7116623,-17.4864838,28,1,4
7,0.975,0.7117266,-17.42439966,28,1,4
8,1.125,0.7117447,-17.21443911,28,1,4
9,1.276,0.7117873,-17.23588197,28,1,4
10,1.425,0.7116927,-17.25732483,28,1,4
11,1.575,0.7120899,-17.27876769,28,1,4
12,1.725,0.7119254,-17.2985262,28,1,4
13,1.875,0.71173815,-17.1484262,28,1,4
14,2.025,0.7116008,-16.9983262,28,1,4
15,2.175,0.7120924,-16.8482262,28,2,4
16,2.325,0.7120793,-16.7854466,28,2,4
17,2.476,0.7121779,-16.76400374,28,2,4
18,2.625,0.7125233,-16.74256089,28,2,4
19,2.775,0.7124282,-16.72111803,28,2,4
20,2.925,0.7116597,-16.69895055,28,2,4
21,3.076,0.7102907,-16.62967363,28,2,4
22,3.225,0.7104813,-16.56039671,28,2,4
23,3.375,0.7099618,-16.49111978,28,2,4
24,3.525,0.7102541,-16.42184286,28,2,4
25,3.676,0.7104153,-16.44404591,28,2,4
26,3.825,0.710556,-16.50837449,28,2,4
27,3.975,0.7113726,-16.57270306,28,2,4
28,4.125,0.7110981,-16.63703163,28,2,4
29,4.276,0.7109595,-16.697733,27,1,4
30,4.425,0.7111362,-16.59051871,27,1,4
31,4.575,0.712253,-16.48330443,27,1,4
32,4.725,0.7113499,-16.37609014,27,1,4
33,4.876,0.7116297,-16.26887586,27,1,4
34,5.024,0.712116451,-16.15871246,27,1,4
35,5.175,0.71282919,-16.04325092,27,1,4
36,5.325,0.713746522,-15.92778938,27,1,4
37,5.475,0.713842093,-15.81232785,27,1,4
38,5.625,0.713509416,-15.69941803,27,1,4
39,5.775,0.713415155,-15.67797517,27,1,4
40,5.925,0.713464903,-15.65653231,27,1,4
41,6.075,0.713379804,-15.63508946,27,1,4
42,6.225,0.713032686,-15.6136466,27,1,4
43,6.375,0.713101507,-15.60779626,27,1,4
44,6.525,0.713058729,-15.62923911,27,1,4
45,6.675,0.712454582,-15.65068197,27,1,4
46,6.825,0.712738294,-15.67212483,27,1,4
47,6.975,0.713057535,-15.69356769,27,1,4
48,7.125,0.712968968,-15.71400984,27,1,4
49,7.275,0.713025325,-15.73402317,27,1,4
50,7.425,0.712783952,-15.75403651,27,1,4
51,7.575,0.712870674,-15.77404984,27,2,4
52,7.725,0.712911595,-15.79406317,27,2,4
